,City,City Latitude,City Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),City Country,City Datetime
121,sheridan,-35.1,173.78,72.81,72.81,56.0,5.0,9.01,NZ,1604202301.0
122,mweka,42.9,133.91,56.25,56.25,75.0,36.0,12.41,RU,1604202308.0
123,vila velha,73.51,80.55,21.09,21.09,98.0,100.0,8.59,RU,1604202308.0
124,prince rupert,-17.83,-149.27,82.4,82.4,61.0,75.0,9.17,PF,1604202308.0
125,naberera,-38.0,-57.56,56.59,59.0,93.0,0.0,6.4,AR,1604202128.0
126,tuktoyaktuk,47.38,-61.86,37.4,37.4,59.0,4.0,14.99,CA,1604202226.0
127,banda aceh,8.0,124.29,88.0,88.0,66.0,100.0,7.0,PH,1604202309.0
128,torbay,-14.47,132.27,102.2,102.2,16.0,25.0,19.46,AU,1604202309.0
129,zlitan,-23.65,-70.4,59.0,59.0,82.0,90.0,6.93,CL,1604202125.0
130,kaeo,-33.7,-53.46,50.77,50.77,87.0,0.0,0.31,UY,1604202309.0
131,preobrazheniye,-30.18,-50.21,61.3,61.3,75.0,26.0,5.46,BR,1604202310.0
132,dikson,10.4,5.47,72.75,72.75,36.0,69.0,2.98,NG,1604202310.0
133,teahupoo,64.5,-165.41,20.46,21.2,79.0,1.0,6.93,US,1604202310.0
134,mar del plata,42.1,-79.24,37.69,39.0,74.0,1.0,12.75,US,1604202205.0
135,cap-aux-meules,-34.58,150.86,62.15,63.0,88.0,99.0,7.0,AU,1604202310.0
136,illoqqortoormiut,-5.2,-35.46,75.2,75.2,94.0,20.0,3.36,BR,1604202310.0
137,marawi,50.68,156.12,43.29,43.29,76.0,30.0,15.73,RU,1604202311.0
138,katherine,42.33,142.37,56.89,56.89,61.0,100.0,8.46,JP,1604202311.0
139,antofagasta,27.98,-114.06,68.29,68.29,69.0,51.0,9.84,MX,1604202311.0
140,chuy,47.57,-59.14,35.69,35.69,81.0,90.0,17.2,CA,1604202311.0
141,cidreira,-10.62,150.67,83.37,83.37,76.0,88.0,9.71,PG,1604202312.0
142,kontagora,19.67,97.21,78.08,78.08,76.0,62.0,2.39,MM,1604202312.0
143,nome,62.72,129.67,-7.6,-7.6,76.0,40.0,2.26,RU,1604202312.0
144,jamestown,6.04,80.22,83.34,83.34,73.0,93.0,8.01,LK,1604202312.0
145,flinders,-46.13,167.68,53.01,53.01,85.0,94.0,15.01,NZ,1604202312.0
146,touros,42.78,-96.93,42.24,43.0,48.0,1.0,18.34,US,1604202081.0
147,severo-kurilsk,59.7,30.79,30.49,32.0,100.0,90.0,4.47,RU,1604202313.0
148,shizunai,15.74,-96.47,77.0,77.0,88.0,33.0,3.49,MX,1604202310.0
149,guerrero negro,-28.32,27.62,54.59,54.59,80.0,100.0,14.23,ZA,1604202313.0
150,channel-port aux basques,39.18,-84.53,48.47,51.01,66.0,40.0,10.29,US,1604202082.0
151,samarai,-11.95,-75.28,47.62,47.62,73.0,71.0,0.96,PE,1604202313.0
152,barentsburg,26.33,43.98,57.2,57.2,44.0,0.0,8.86,SA,1604202314.0
153,loikaw,69.49,88.4,21.2,21.2,85.0,90.0,29.08,RU,1604202314.0
154,namtsy,6.7,101.62,87.8,87.8,66.0,20.0,5.82,TH,1604202314.0
155,galle,41.76,86.15,48.99,48.99,71.0,0.0,5.99,CN,1604202291.0
156,tuatapere,43.32,145.57,53.6,53.6,66.0,75.0,11.41,JP,1604202314.0
157,amderma,68.22,-135.01,-6.47,-2.2,84.0,70.0,3.31,CA,1604202315.0
158,vermillion,61.84,6.81,46.63,46.63,69.0,99.0,12.75,NO,1604202315.0
159,nikolskoye,-8.93,125.41,79.66,79.66,40.0,2.0,2.86,TL,1604202315.0
160,pochutla,-0.6,73.08,83.14,83.14,73.0,100.0,10.02,MV,1604202315.0
161,senekal,56.85,124.91,5.49,5.49,89.0,99.0,12.68,RU,1604202316.0
162,guajara-mirim,69.38,178.42,14.59,14.59,87.0,27.0,6.64,RU,1604202316.0
163,hamilton,-35.35,150.47,61.2,62.6,88.0,90.0,16.11,AU,1604202316.0
164,san jeronimo,42.25,-75.83,32.86,35.01,94.0,1.0,6.93,US,1604202316.0
165,buraydah,51.32,42.77,47.16,47.16,68.0,100.0,11.88,RU,1604202316.0
166,talnakh,22.89,-109.91,77.0,77.0,78.0,20.0,3.42,MX,1604202317.0
167,belushya guba,-29.68,-53.81,57.2,57.2,87.0,0.0,8.05,BR,1604202317.0
168,sai buri,35.73,140.83,66.45,68.0,59.0,75.0,3.36,JP,1604202155.0
169,korla,45.52,-122.68,49.53,52.0,71.0,20.0,6.93,US,1604202290.0
