,City,City Latitude,City Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),City Country,City Datetime
60,riyadh,-20.41,57.7,71.6,71.6,64,20,14.99,MU,1604202270
61,komsomolskiy,36.06,136.5,68,68,40,75,12.75,JP,1604202298
62,hettstedt,32.67,-17.1,69.73,71.01,56,20,9.17,PT,1604202268
63,hualmay,37.57,140.12,63.1,64.4,48,75,11.41,JP,1604202268
64,atuona,-20.46,16.65,67.26,67.26,36,71,8.9,NA,1604202299
65,khatanga,3.07,172.79,81.64,81.64,76,100,11.43,KI,1604202276
66,mahebourg,-20.75,-51.68,69.17,69.17,69,44,9.24,BR,1604202299
67,katsuyama,18.74,7.39,71.92,71.92,26,0,12.08,NE,1604202299
68,ponta do sol,46.62,10.7,42.8,42.8,70,40,5.82,IT,1604202299
69,inawashiro,19.73,-155.09,76.68,82.4,65,90,5.82,US,1604202299
70,otjiwarongo,5.41,100.34,83.05,84.2,74,20,4.7,MY,1604202061
71,butaritari,-33.01,17.94,53.6,53.6,58,0,3.36,ZA,1604202299
72,tres lagoas,58.75,17.01,50,50,87,75,14.99,SE,1604202300
73,arlit,60.92,-46.05,24.8,24.8,85,82,1.12,GL,1604202300
74,lasa,-22.97,-42.03,70.63,70.63,79,46,14.34,BR,1604202300
75,hilo,63.84,23.13,46.26,46.99,93,75,13.87,FI,1604202300
76,georgetown,62.46,-114.35,23,23,92,90,9.17,CA,1604202300
77,saldanha,38.52,-28.7,69.17,69.17,92,68,24.52,PT,1604202300
78,wa,-3.77,-61.64,71.87,71.87,95,77,3.65,BR,1604202300
79,nykoping,68.75,161.3,10.53,10.53,88,100,2.37,RU,1604202292
80,narsaq,-34.53,20.04,46.4,46.4,93,35,3.36,ZA,1604202301
81,arraial do cabo,65.58,22.15,35.6,35.6,100,100,2.24,SE,1604202301
82,kokkola,71.69,128.87,-4.29,-4.29,90,54,8.14,RU,1604202301
83,yellowknife,-15.77,128.73,98.6,98.6,35,40,9.17,AU,1604202301
84,ribeira grande,54.08,-0.19,48.06,48.2,81,100,12.75,GB,1604202301
85,crab hill,-0.74,-90.35,70,70,91,86,1.99,EC,1604202301
86,anori,-24.79,-50.01,52.65,52.65,91,62,8.14,BR,1604202254
87,cherskiy,-17.53,146.03,90,90,28,0,3,AU,1604202301
88,bredasdorp,16.94,104.71,83.23,84.2,66,20,4.7,TH,1604202302
89,lulea,64.89,-23.71,41.77,41.77,78,86,10.56,IS,1604202287
90,tiksi,4.14,96.13,86,86,61,100,3.33,ID,1604202302
91,kununurra,-46.6,168.33,53.01,53.01,85,99,15.01,NZ,1604202269
92,bridlington,69.7,170.31,15.82,15.82,93,83,12.95,RU,1604202302
93,puerto ayora,2.89,-72.13,73.06,73.06,98,100,4.38,CO,1604202302
94,castro,-11.33,-74.53,64.8,64.8,81,67,1.57,PE,1604202302
95,innisfail,55.74,-97.86,8.6,8.6,84,5,6.93,CA,1604202013
96,khonuu,71.04,27.85,36.95,36.95,80,0,13.24,NO,1604202303
97,that phanom,-37.62,-73.65,51.08,51.08,89,25,5.08,CL,1604202269
98,olafsvik,-33.92,25.57,62.6,62.6,82,20,6.93,ZA,1604202303
99,meulaboh,39.03,121.69,60.8,60.8,23,0,11.18,CN,1604202303
100,bluff,28.65,70.66,83.16,83.16,13,0,5.37,PK,1604202303
101,pevek,-20.47,22.72,73.47,73.47,30,98,7.34,BW,1604202303
102,mapiripan,49.28,1.78,52.72,53.6,87,0,6.93,FR,1604202304
103,mazamari,66.32,-179.17,12.58,12.58,82,2,2.64,RU,1604202304
104,thompson,57.41,-6.19,45,45,87,98,23,GB,1604202304
105,mehamn,65.42,-52.9,19.92,19.92,94,100,9.98,GL,1604202305
106,lebu,59.64,-151.55,24.85,28.99,42,1,3.36,US,1604202305
107,port elizabeth,44.9,-89.77,42.85,44.6,48,90,20.8,US,1604202305
108,dalianwan,50.25,-99.84,21.2,21.2,73,20,11.41,CA,1604202305
109,khanpur,61.99,-49.67,24.31,24.31,96,100,9.04,GL,1604202303
110,sehithwa,17.02,54.09,69.8,69.8,37,0,3.36,OM,1604202306
111,gisors,-17.02,-72.01,64.83,64.83,75,77,6.91,PE,1604202306
112,egvekinot,44.83,-106.92,30.38,30.99,80,1,4.5,US,1604202306
113,portree,-4.85,21.57,67.23,67.23,99,94,0.76,CD,1604202306
114,maniitsoq,-20.33,-40.29,69.8,69.8,94,90,5.82,BR,1604202306
115,homer,54.32,-130.32,48.76,50,87,90,16.11,CA,1604202305
116,marathon,-4.2,36.93,59.94,59.94,88,52,6.24,TZ,1604202307
117,minnedosa,69.45,-133.04,-4,-4,76,40,5.82,CA,1604202268
118,paamiut,5.56,95.32,86.14,86.14,63,86,8.28,ID,1604202036
119,salalah,47.67,-52.73,30.65,32,63,40,16.11,CA,1604202307
120,mollendo,32.47,14.57,68.68,68.68,67,63,6.73,LY,1604202308
121,sheridan,-35.1,173.78,72.81,72.81,56,5,9.01,NZ,1604202301
122,mweka,42.9,133.91,56.25,56.25,75,36,12.41,RU,1604202308
123,vila velha,73.51,80.55,21.09,21.09,98,100,8.59,RU,1604202308
124,prince rupert,-17.83,-149.27,82.4,82.4,61,75,9.17,PF,1604202308
125,naberera,-38,-57.56,56.59,59,93,0,6.4,AR,1604202128
126,tuktoyaktuk,47.38,-61.86,37.4,37.4,59,4,14.99,CA,1604202226
127,banda aceh,8,124.29,88,88,66,100,7,PH,1604202309
128,torbay,-14.47,132.27,102.2,102.2,16,25,19.46,AU,1604202309
129,zlitan,-23.65,-70.4,59,59,82,90,6.93,CL,1604202125
130,kaeo,-33.7,-53.46,50.77,50.77,87,0,0.31,UY,1604202309
131,preobrazheniye,-30.18,-50.21,61.3,61.3,75,26,5.46,BR,1604202310
132,dikson,10.4,5.47,72.75,72.75,36,69,2.98,NG,1604202310
133,teahupoo,64.5,-165.41,20.46,21.2,79,1,6.93,US,1604202310
134,mar del plata,42.1,-79.24,37.69,39,74,1,12.75,US,1604202205
135,cap-aux-meules,-34.58,150.86,62.15,63,88,99,7,AU,1604202310
136,illoqqortoormiut,-5.2,-35.46,75.2,75.2,94,20,3.36,BR,1604202310
137,marawi,50.68,156.12,43.29,43.29,76,30,15.73,RU,1604202311
